Titration report,,,,,,,,,,,,,
Method,,,,,,,,,,,,,
Method ID,,CRM_TA_titration,,,,"Release state
",,,,Released,,,
Name,,CRM_TA_titration,,,,Modified by,,,,SystemInternal,,,
Modified on,,7/3/2018 3:07:33 PM,,,,,,,,,,,
Summary,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,
,Sample ID,,,,Name,,,,Result,,,,State
1,"JUNK, --, --",,,,Sample size,,,,59.6080 g,,,,
2,"CRM1, --, --",,,,Sample size,,,,60.5657 g,,,,
3,"CRM2, --, --",,,,Sample size,,,,60.3960 g,,,,
Used Instruments,,,,,,,,,,,,,
Name,,Titrator,,,,,Serial number,,,,B729396762,,
Responsible User,,,,,,,,,,,,,
Time,,,,Login name,,,,Full name,,,,,
11/2/2018 12:06:22 PM,,,,SystemInternal,,,,System internal account,,,,,
11/2/2018 12:45:45 PM,,,SystemInternal,,,,,,,,,1/1,
