Results Editor,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Content (R1),Unit of Content (R1),Weight [g],,Unit of Weight [g],Density [g/m L],Unit of Density [g/m L]
1,JUNK,5/2/2019 12:09:28 PM,OK,Unchecked,0,,25.0,°C,,2.338,mL,60.096,g,60.0961,,g,1.0,g/mL
2,1A,5/2/2019 12:20:18 PM,OK,Unchecked,0,,25.0,°C,,2.347,mL,59.256,g,59.2556,,g,1.0,g/mL
3,1B,5/2/2019 12:31:02 PM,OK,Unchecked,0,,25.0,°C,,2.332,mL,59.421,g,59.4208,,g,1.0,g/mL
4,2A,5/2/2019 12:41:44 PM,OK,Unchecked,0,,25.0,°C,,2.342,mL,60.086,g,60.0856,,g,1.0,g/mL
5,2B,5/2/2019 12:52:29 PM,OK,Unchecked,0,,25.0,°C,,2.310,mL,59.892,g,59.8925,,g,1.0,g/mL
6,3A,5/2/2019 1:03:11 PM,OK,Unchecked,0,,25.0,°C,,2.246,mL,59.163,g,59.1630,,g,1.0,g/mL
7,3B,5/2/2019 1:13:50 PM,OK,Unchecked,0,,25.0,°C,,2.272,mL,60.289,g,60.2887,,g,1.0,g/mL
8,4A,5/2/2019 1:24:31 PM,OK,Unchecked,0,,25.0,°C,,2.239,mL,60.118,g,60.1175,,g,1.0,g/mL
9,4B,5/2/2019 1:35:10 PM,OK,Unchecked,0,,25.0,°C,,2.192,mL,59.448,g,59.4481,,g,1.0,g/mL
SystemInternal5/2/2019 1:47:21 PM,,,,,,,,,,,,,,,1/1,,,
