 ,Label,Area,%Area
1,20190123-006-10X.png,4016054,0
2,20190123-006-10X.png,1549310,0
3,20190123-006-10X.png,71350,0
4,20190123-006-10X.png,121863,0
5,20190123-006-10X.png,7902720,0
6,20190123-006-10X.png,96165,0
7,20190123-13-10x.png,4289406,0
8,20190123-13-10x.png,7902720,0
9,20190123-13-10x.png,1566799,0
10,20190123-13-10x.png,1566799,0
11,20190123-006-10X.png,591812,0
12,20190123-13-10x.png,7902720,0
13,20190123-13-10x.png,1405967,0
14,20190123-13-10x.png,224455,0
15,20190123-17-10X.png,4146224,0
16,20190123-17-10X.png,491929,0
17,20190123-17-10X.png,2102811,0
18,20190123-028-10X.png,292865,0
19,20190123-028-10X.png,4172800,0
20,20190123-028-10X.png,7902720,0
21,20190123-028-10X.png,1555134,0
22,20190123-028-10X.png,292865,0
23,20190123-034-10X.png,4196108,0
24,20190123-034-10X.png,525044,0
25,20190123-034-10X.png,200027,0
26,20190123-045-10x.png,4301148,0
27,20190123-045-10x.png,350511,0
28,20190123-045-10x.png,470778,0
29,20190123-045-10x.png,1686042,0
30,20190123-050-10X.png,1204777,0
31,20190123-050-10X.png,3984500,0
32,20190123-050-10X.png,324823,0
33,20190123-052-10X.png,4688746,0
34,20190123-052-10X.png,2845920,0
35,20190123-052-10X.png,2900800,0
36,20190123-052-10X.png,352931,0
37,20190123-052-10X.png,1393860,0
38,20190221-6-10x.png,4509168,0
39,20190221-6-10x.png,620845,0
40,20190221-6-10x.png,424087,0
41,20190221-6-10x.png,2645580,0
42,20190221-7-10X.png,3975660,0
43,20190221-7-10X.png,181165,0
44,20190221-7-10X.png,278842,0
45,20190221-7-10X.png,1264522,0
46,20190221-7-10X.png,3969478,0
47,20190221-7-10X.png,3975310,0
48,20190221-8-4X.png,1518912,0
49,20190221-8-4X.png,93467,0
50,20190221-8-4X.png,409376,0
51,20190221-009-4x.png,3998220,0
52,20190221-009-4x.png,225836,0
53,20190221-009-4x.png,1312811,0
54,20190221-14-10X.png,4102644,0
55,20190221-14-10X.png,382086,0
56,20190221-14-10X.png,7902720,0
57,20190221-14-10X.png,1441882,0
58,20190221-015-10x.png,3234000,0
59,20190221-015-10x.png,314600,0
60,20190221-015-10x.png,3234000,0
61,20190221-015-10x.png,1194660,0
62,20190221-015-10x.png,1131906,0
63,20190221-025-10X.png,4062838,0
64,20190221-025-10X.png,326087,0
65,20190221-025-10X.png,7902720,0
66,20190221-025-10X.png,1886948,0
